Order #,Customer,Date,Status,Created By,Total (€),Margin (€),Margin (%)
#1,Green Table Restaurant,2026-04-13 06:49,Order,Jemma Jeonghan,162.50,103.50,63.7%
#2,Organic Market Oy,2026-04-13 06:49,Order,Sofia Salonen,106.50,66.40,62.3%
#3,Nordic Fresh Ltd,2026-04-13 06:49,Order,Jemma Jeonghan,162.80,107.40,66.0%
#4,Café Vihreä,2026-04-13 06:49,Order,Sofia Salonen,135.00,93.00,68.9%
#5,Helsinki University Canteen,2026-04-13 06:49,Order,Jemma Jeonghan,154.60,94.00,60.8%
#6,FreshBox Subscriptions,2026-04-13 06:49,Order,Sofia Salonen,82.50,52.50,63.6%
#7,Ravintola Sato,2026-04-13 06:49,Order,Jemma Jeonghan,254.50,163.50,64.2%
#8,EcoGrocers Turku,2026-04-13 06:49,Order,Sofia Salonen,194.00,134.00,69.1%
#9,Salad Studio,2026-04-13 06:49,Order,Jemma Jeonghan,48.60,29.40,60.5%
#10,Bistro Kasvi,2026-04-13 06:49,Order,Sofia Salonen,79.80,49.80,62.4%
#11,Tampere Health Foods,2026-04-13 06:49,Order,Jemma Jeonghan,72.00,45.60,63.3%
#12,Espoo School Catering,2026-04-13 06:49,Order,Sofia Salonen,205.50,136.50,66.4%
#13,Leaf & Fork Deli,2026-04-13 06:49,Order,Jemma Jeonghan,65.40,42.60,65.1%
#14,Green Table Restaurant,2026-04-13 06:49,Quotation,Sofia Salonen,100.00,66.50,66.5%
#15,Nordic Fresh Ltd,2026-04-13 06:49,Quotation,Jemma Jeonghan,183.00,120.00,65.6%
#16,FreshBox Subscriptions,2026-04-13 06:49,Quotation,Sofia Salonen,105.00,64.60,61.5%
